	label	text
0	0	备胎是硬伤！
1	0	要说不满意的话，那就是动力了，1.5自然吸气发动机对这款车有种小马拉大车的感觉。如今天气这么热，上路肯定得开空调，开了后动力明显感觉有些不给力不过空调制冷效果还是不错的。
2	0	油耗显示13升还多一点，希望慢慢下降。没有倒车雷达真可恨
3	0	空调不太凉，应该是小问题。
4	0	1、后排座椅不能平放；2、科技感不强，还不如百万帝豪，最希望增加车联网的车机。像你好博越一样。3、全景摄像头不清楚，晚上基本上用处不大
5	1	车子外观好看，车内空间大。
6	1	最满意的真的不只一点，概括一下最满意的就是性价比了。ps:虽然没有s7性价比高(原厂记录仪,绿净)
7	0	底盘调教的很低，坐的感觉有些别扭，视角不是很好。
8	0	开空调时，一档起步动力不足。车子做工有点马虎。
9	1	那当然是外观了，换了圈加了尾翼，回头率直线上升。还有就是可玩性，晚上没事叫上车友漂个定圆，玩玩甩尾掉头，对得起大玩具的称号。
10	1	最满意的就是动力了和外观了
11	1	这个价位级别的车内饰和中控基本上都是硬塑料了，不过车内的储物空间的确非常多，这点非常满意！
12	0	地盘部分裸漏应加强防锈处理，发动机声音大应加强隔音处理！储物空间太小，只有一个杯座很是不方便。
13	1	外形霸气，内饰科技感很强。
14	1	车的内部空间比较大。而且有隔层。
15	1	我是最爱此车的外观大气！车子给人的感觉就是舒适敞亮。车身的线条流利，外观看起来很时尚，很年轻化，给人的感觉还是挺棒的。
16	0	配置太少了，做工太差，噪音有点多。
17	1	适合家用，有里有面，有品质不奢华。
18	1	品牌力吧在我们这小城市虽然五系也是街车但给人的感觉也还是不一样我二十开这个出去也还是比较有面儿
19	0	里里外外做工差，皮薄，油漆一碰就掉，内饰太单调。
20	1	最满意的就是油耗了，这么大的车，油耗才7个多，甚至我跑到过6个，小日本不咋得，但是造的车真心省油。
21	1	整个车的空间比较的大，所以大家都觉得无论是驾驶空间还是乘坐空间，都比较的舒适。外观很有感觉，看起来很高大上。内饰在小细节上的处理让我很满意，油耗在目前为止还是有点大，相对车重来说能够理解。
22	1	最满意的就是外观了，当时选择这款车的时候就很喜欢他的外观，还有就是舒适度比较满意。
23	1	空间，动力，油耗，外观……
24	0	要说不满意啊，对它的内饰有点反感，一方面：大面积的硬塑料（包括中控台及其上面）都是豪华版了，就不能来点软皮包裹什么的，显得档次低。另一方面：虽然这个钢琴黑的烤漆面板看起来时尚，但太容易留下指纹和印记。
25	1	空间超大，外形高大上，全景天窗超爽，配置丰富，满足一家人出行需要，告别外出两部车的历史！
26	0	无倒车雷达，浅色内饰，些许异响
27	0	起步时不舍得狠踩油门确实起步肉了一些。
28	0	最不满意的还是减震比较硬，车轮下的传递感很强。
29	0	最不满意的就是车子后排座椅不能放倒，有点不体恤民心了。
30	0	这个嘛。说最不满意的一点：个人觉得最大的油耗，本人在夏天开空调（综合路况）1.2排量到达过9毛多/公里！！！很吭吧？是真的哟！！
31	1	性价比高、舒适、地盘扎实、过沟过坎毫无压力！
32	1	油耗，动力，空间，外观
33	1	空间大,实用性强,性价比高,保养费用较低,
